timestamp,x,y,z
2024-08-22 19:53:33,-64.82,11.84,25.94
2024-08-22 19:56:36,0.0,-0.31,-0.12
2024-08-22 19:55:49,0.0,-0.37,-0.24
2024-08-22 19:54:22,0.06,-0.31,-0.18
2024-08-22 20:03:27,0.0,-0.24,-0.12
2024-08-22 20:02:11,0.06,-0.37,-0.24
2024-08-22 20:02:22,0.18,-0.37,-0.31
2024-08-22 20:08:15,0.06,-0.31,-0.18
2024-08-22 20:00:41,0.24,-0.49,-0.37
2024-08-22 19:57:26,-0.06,-0.24,-0.12
2024-08-22 20:11:09,0.12,-0.37,-0.31
2024-08-22 19:57:23,0.18,-0.37,-0.37
2024-08-22 20:00:06,0.12,-0.37,-0.37
2024-08-22 20:01:58,0.06,-0.18,-0.18
2024-08-22 20:00:27,0.06,-0.43,-0.24
2024-08-22 20:04:16,0.12,-0.37,-0.24
2024-08-22 20:08:10,0.06,-0.37,-0.24
2024-08-22 20:08:29,0.06,-0.37,-0.18
2024-08-22 20:11:16,0.12,-0.43,-0.31
2024-08-22 20:10:40,0.12,-0.37,-0.31
2024-08-22 20:09:11,-0.06,-0.31,-0.18
2024-08-22 20:09:27,0.06,-0.31,-0.24
2024-08-22 20:01:48,-0.06,-0.37,-0.18
2024-08-22 20:01:45,-0.12,-0.31,-0.06
2024-08-22 20:10:24,0.18,-0.31,-0.37
2024-08-22 20:12:14,0.06,-0.31,-0.24
2024-08-22 19:56:23,0.06,-0.31,-0.24
2024-08-22 20:02:54,0.0,-0.31,-0.18
2024-08-22 20:02:30,0.06,-0.31,-0.24
2024-08-22 20:00:43,0.12,-0.37,-0.31
2024-08-22 20:05:02,0.12,-0.43,-0.37
2024-08-22 20:10:00,-0.06,-0.31,-0.12
2024-08-22 20:06:16,0.12,-0.37,-0.31
2024-08-22 19:56:41,0.12,-0.31,-0.31
2024-08-22 19:55:16,0.18,-0.37,-0.31
2024-08-22 20:12:02,-0.06,-0.37,-0.18
2024-08-22 20:11:36,-0.12,-0.31,-0.06
2024-08-22 19:58:49,0.12,-0.43,-0.37
2024-08-22 19:54:04,-0.31,-0.31,0.12
2024-08-22 19:53:35,54.38,25.88,-24.72
2024-08-22 20:00:34,0.18,-0.37,-0.37
2024-08-22 19:56:08,-0.06,-0.31,-0.12
2024-08-22 20:02:12,0.12,-0.37,-0.31
2024-08-22 20:05:24,0.0,-0.37,-0.18
2024-08-22 19:59:42,0.06,-0.37,-0.24
2024-08-22 20:12:04,0.12,-0.37,-0.31
2024-08-22 20:09:59,0.0,-0.37,-0.24
2024-08-22 19:59:58,0.0,-0.37,-0.18
2024-08-22 20:06:08,-0.12,-0.31,-0.06
2024-08-22 20:09:43,0.12,-0.37,-0.31
2024-08-22 20:06:36,0.12,-0.37,-0.24
2024-08-22 19:55:45,0.12,-0.31,-0.24
2024-08-22 20:05:00,0.06,-0.43,-0.24
2024-08-22 19:57:27,0.0,-0.37,-0.18
2024-08-22 19:56:01,-0.12,-0.31,-0.06
2024-08-22 19:54:18,0.43,-0.31,-0.49
2024-08-22 19:53:32,0.06,-0.31,-0.24
2024-08-22 19:59:17,0.12,-0.31,-0.31
2024-08-22 20:04:49,0.06,-0.24,-0.18
2024-08-22 19:59:55,0.06,-0.31,-0.18
2024-08-22 19:54:06,-0.31,-0.31,0.12
2024-08-22 19:55:03,-0.24,-0.31,0.06
2024-08-22 20:05:14,0.12,-0.37,-0.31
2024-08-22 19:53:21,-0.18,-0.43,-0.12
2024-08-22 19:56:48,0.18,-0.43,-0.37
2024-08-22 19:54:27,0.06,-0.37,-0.24
2024-08-22 20:00:09,-0.06,-0.31,-0.12
2024-08-22 19:55:20,-0.12,-0.31,-0.06
2024-08-22 20:03:21,0.06,-0.43,-0.24
2024-08-22 20:04:29,0.06,-0.31,-0.18
2024-08-22 20:02:18,0.0,-0.37,-0.24
2024-08-22 20:04:56,0.18,-0.49,-0.43
2024-08-22 20:01:06,-0.24,-0.18,0.06
2024-08-22 19:58:15,0.06,-0.37,-0.24
2024-08-22 20:06:25,0.12,-0.37,-0.31
2024-08-22 20:02:19,0.18,-0.37,-0.37
2024-08-22 20:03:31,0.18,-0.37,-0.31
2024-08-22 20:02:43,-0.06,-0.31,-0.18
2024-08-22 20:06:05,0.12,-0.43,-0.37
2024-08-22 20:03:03,0.06,-0.37,-0.31
2024-08-22 20:00:03,0.06,-0.31,-0.24
2024-08-22 20:05:52,-0.12,-0.24,-0.06
2024-08-22 20:07:30,0.06,-0.37,-0.24
2024-08-22 20:10:42,0.06,-0.31,-0.24
2024-08-22 20:00:14,0.12,-0.43,-0.31
2024-08-22 20:08:49,0.0,-0.43,-0.18
2024-08-22 20:01:34,0.06,-0.37,-0.24
2024-08-22 19:53:15,-0.43,-0.49,0.0
2024-08-22 20:07:09,0.06,-0.31,-0.24
2024-08-22 19:57:40,0.06,-0.37,-0.24
2024-08-22 19:56:49,0.0,-0.31,-0.24
2024-08-22 19:57:05,-0.06,-0.31,-0.06
2024-08-22 20:01:19,-0.06,-0.31,-0.12
2024-08-22 20:01:27,0.06,-0.31,-0.24
2024-08-22 20:05:48,0.0,-0.31,-0.18
2024-08-22 19:59:00,0.37,-0.49,-0.55
2024-08-22 20:12:08,0.0,-0.31,-0.18
2024-08-22 20:01:15,0.24,-0.49,-0.49
2024-08-22 20:07:08,-0.06,-0.24,-0.12
2024-08-22 20:12:29,0.0,-0.37,-0.18
2024-08-22 19:54:34,0.06,-0.37,-0.24
2024-08-22 19:55:30,0.06,-0.37,-0.31
2024-08-22 20:12:07,15.56,-0.37,-0.31
2024-08-22 20:04:39,0.0,-0.37,-0.12
2024-08-22 20:00:52,-0.06,-0.37,-0.12
2024-08-22 20:09:31,0.06,-0.37,-0.31
2024-08-22 19:56:13,0.18,-0.43,-0.43
2024-08-22 19:57:29,0.12,-0.43,-0.31
2024-08-22 19:57:57,0.0,-0.31,-0.18
2024-08-22 20:07:39,0.12,-0.37,-0.31
2024-08-22 19:56:59,0.0,-0.31,-0.24
